"Timestamp","Q1. Which area of the city do you reside in?  "," Q2. What best describes your current place of residence?  "," Q3. Which of the following best describes your current occupation?  ","Q4. What is your family/household size?  ","Q5. Do you currently have primary responsibility for hiring or managing household help/repairs?  ","Q6. How do you usually find a local service provider (electrician, plumber, painter, etc.)?","Q7. On average, how often does your household require a professional for repairs or maintenance? ","Q8. What is your primary concern when hiring a worker you don't know personally? ","Q9. On a scale of 1-5, how much do you trust a worker you found via a local shop or ""Labor Chowk""? ","Q10. How do you currently verify the background or identity of a new worker before they enter your home?","Q11. If a service provider could provide a ""Verified Work Identity"" (Government ID + Criminal Background Check), would it influence your hiring decision?  ","Q12. Would you be willing to pay a small ""Trust Premium"" (e.g., ₹20-₹30) per visit to ensure the worker is fully background-verified? ","Q13. How important is it for you to see a worker’s previous ratings and reviews before hiring? ","Q14. Would you be interested in trying a student-led initiative that simplifies finding verified local help?"
"2026/02/19 5:07:46 PM GMT+5:30","Posh Residential Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Unprofessional behavior or language","1","","Maybe, if the price is same","No, it should be free","3","Yes"
"2026/02/19 6:00:05 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","None","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/19 6:33:32 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Once every 2-3 months","Personal Safety/Home Security;Overpricing (Lack of transparency);Punctuality","4","Basically we call known people only and they have been consistently doing repairs in the house since past 5-10 years","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/19 6:45:47 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","None","Maybe, if the price is same","Yes, for peace of mind","5","Yes"
"2026/02/19 7:41:47 PM GMT+5:30","Posh Residential Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Overpricing (Lack of transparency)","3","None","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/19 8:23:12 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","Once every 2-3 months","Unprofessional behavior or language","3","Their way of professionalism","Yes, definitely","No, it should be free","4","Yes"
"2026/02/19 8:26:08 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","2","","Maybe, if the price is same","Only for major repairs","3","Yes"
"2026/02/19 8:42:00 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","2","","Maybe, if the price is same","No, it should be free","5","Yes"
"2026/02/19 9:04:51 PM GMT+5:30","Gated Societies","Gated Community/ Society","Student","2-4 Members","I share the responsibility with family members.","Ask friends/ Neighbors","Only during emergencies","Overpricing (Lack of transparency)","3","","Yes, definitely","Only for major repairs","3","Yes"
"2026/02/19 9:09:44 PM GMT+5:30","Main City/ Commercial Areas","Apartment/ Flat","Working Professional (Full-time/ Part-time)","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security","1","First of all . I will be call him that it is correct person or not then i will check their aadhar card .","Yes, definitely","No, it should be free","1","Yes"
"2026/02/19 9:12:04 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Local Labor Chowk or nearby shops","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","4","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/19 9:13:04 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","I share the responsibility with family members.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","NONE","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/19 9:14:37 PM GMT+5:30","Posh Residential Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security","3","If they have worked previously at some friends or relatives house .","Maybe, if the price is same","Yes, for peace of mind","4","Yes"
"2026/02/19 9:15:56 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Overpricing (Lack of transparency)","4","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/02/19 9:17:38 PM GMT+5:30","Main City/ Commercial Areas","Apartment/ Flat","Student","2-4 Members","No, someone else in the house handles it.","Existing WhatsApp Communities","Once every 2-3 months","Punctuality","4","Working nearby house","No, I only care about the price","Only for major repairs","3","No"
"2026/02/19 9:19:50 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level)","1","Ask for a valid government-issued ID","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/19 9:20:45 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Apps (Justdial/ Urban Company)","More than once a month","Quality of Work (Skill level)","3","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/19 9:22:01 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Unprofessional behavior or language","3",".","Yes, definitely","No, it should be free","4","No"
"2026/02/19 9:23:23 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","Yes, I handle it myself.","I have a fixed person I always call","Only during emergencies","Punctuality","1","IDGF","Yes, definitely","No, it should be free","1","No"
"2026/02/19 9:26:48 PM GMT+5:30","Gated Societies","Gated Community/ Society","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","2","","Maybe, if the price is same","Only for major repairs","3","Yes"
"2026/02/19 9:30:16 PM GMT+5:30","University/ Institutional Hubs","Gated Community/ Society","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Quality of Work (Skill level)","1","Skip","Yes, definitely","No, it should be free","5","No"
"2026/02/19 9:36:55 PM GMT+5:30","Main City/ Commercial Areas","Apartment/ Flat","Student","2-4 Members","I share the responsibility with family members.","Apps (Justdial/ Urban Company)","Once every 2-3 months","Personal Safety/Home Security","3","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/19 9:44:50 PM GMT+5:30","Main City/ Commercial Areas","Apartment/ Flat","Student","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","Twice a year","Overpricing (Lack of transparency)","3","","No, I only care about the price","Yes, for peace of mind","4","No"
"2026/02/19 9:45:00 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Once every 2-3 months","Quality of Work (Skill level)","3","None","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/19 9:45:53 PM GMT+5:30","Main City/ Commercial Areas","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Quality of Work (Skill level)","4","none","Maybe, if the price is same","Yes, for peace of mind","4","No"
"2026/02/19 9:51:22 PM GMT+5:30","Gated Societies","Gated Community/ Society","Student","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Once every 2-3 months","Quality of Work (Skill level)","2","Theough reference","Maybe, if the price is same","Yes, for peace of mind","4","Yes"
"2026/02/19 10:02:18 PM GMT+5:30","University/ Institutional Hubs","Gated Community/ Society","Student","2-4 Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Twice a year","Punctuality","3","","Yes, definitely","Only for major repairs","2","Yes"
"2026/02/19 10:08:15 PM GMT+5:30","In village","Independent House","Student","5+ Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","We ask about where are they from….etc","Maybe, if the price is same","Yes, for peace of mind","5","No"
"2026/02/19 10:19:03 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","Yes, I handle it myself.","Existing WhatsApp Communities","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Unprofessional behavior or language","2","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/02/19 10:22:56 PM GMT+5:30","Posh Residential Areas","Independent House","Business Owner/ Entrepreneur","5+ Members","Yes, I handle it myself.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level)","1","Ask for government id","Yes, definitely","Only for major repairs","5","Yes"
"2026/02/19 10:25:48 PM GMT+5:30","Posh Residential Areas","PG/ Hostel","Student","5+ Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","3","Don’t know","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/02/19 10:26:23 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","","Maybe, if the price is same","Yes, for peace of mind","4","Yes"
"2026/02/19 10:52:45 PM GMT+5:30","University/ Institutional Hubs","Apartment/ Flat","Student","2-4 Members","I share the responsibility with family members.","Apps (Justdial/ Urban Company)","Only during emergencies","Overpricing (Lack of transparency)","3","","Maybe, if the price is same","No, it should be free","5","Yes"
"2026/02/19 10:58:08 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security","1","Check identity","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/19 11:02:44 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","","Maybe, if the price is same","No, it should be free","3","Yes"
"2026/02/19 11:32:43 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Twice a year","Overpricing (Lack of transparency)","2","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 12:08:40 AM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","I share the responsibility with family members.","Ask friends/ Neighbors","Once every 2-3 months","Quality of Work (Skill level);Punctuality","1","None","Yes, definitely","Only for major repairs","5","Yes"
"2026/02/20 12:29:06 AM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","Yes, I handle it myself.","Local Labor Chowk or nearby shops","Twice a year","Personal Safety/Home Security;Quality of Work (Skill level)","4","Civic sense ","Maybe, if the price is same","Yes, for peace of mind","3","Yes"
"2026/02/20 1:03:07 AM GMT+5:30","Main City/ Commercial Areas","Gated Community/ Society","Student","2-4 Members","No, someone else in the house handles it.","Existing WhatsApp Communities","Once every 2-3 months","Quality of Work (Skill level)","3","society checks the identity of that person which is police verification then only they are allowed to enter our home.","Yes, definitely","Only for major repairs","4","Yes"
"2026/02/20 7:11:42 AM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Only during emergencies","Quality of Work (Skill level)","3","None","Maybe, if the price is same","Only for major repairs","3","No"
"2026/02/20 12:10:17 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Punctuality","4","","Yes, definitely","Only for major repairs","5","Yes"
"2026/02/20 1:28:10 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security","1","","Maybe, if the price is same","Yes, for peace of mind","5","Yes"
"2026/02/20 1:48:58 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Punctuality","1","Verifying the official identification, references given","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 2:43:57 PM GMT+5:30","Gated Societies","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","Apps (Justdial/ Urban Company)","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 2:44:03 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","2","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 2:45:11 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","1","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 2:46:07 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","Can't ","Maybe, if the price is same","Only for major repairs","5","Yes"
"2026/02/20 2:46:13 PM GMT+5:30","Posh Residential Areas","Apartment/ Flat","Business Owner/ Entrepreneur","5+ Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","1","","Yes, definitely","Only for major repairs","5","Yes"
"2026/02/20 2:47:06 PM GMT+5:30","VPO Rajowala","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","Yes, I handle it myself.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security","5","","Yes, definitely","Only for major repairs","2","Yes"
"2026/02/20 2:53:01 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","5","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 2:54:38 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","4","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 3:04:48 PM GMT+5:30","Main City/ Commercial Areas","Apartment/ Flat","Homemaker","5+ Members","No, someone else in the house handles it.","Apps (Justdial/ Urban Company)","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","1","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 3:39:27 PM GMT+5:30","Developing/ Outer Colonies","Gated Community/ Society","Working Professional (Full-time/ Part-time)","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level)","1","By behaviour, knowing about background ","Yes, definitely","No, it should be free","5","Yes"
"2026/02/20 4:03:05 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","Yes, I handle it myself.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security","1","By verifying his adhaar online checking his contact on True caller","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 5:53:09 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Homemaker","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Only during emergencies","Overpricing (Lack of transparency)","3","None","Maybe, if the price is same","Only for major repairs","2","Yes"
"2026/02/20 5:57:25 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Retired/ Senior Citizen","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Twice a year","Personal Safety/Home Security;Overpricing (Lack of transparency)","1","None","Maybe, if the price is same","Yes, for peace of mind","3","Yes"
"2026/02/20 5:59:36 PM GMT+5:30","Main City/ Commercial Areas","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","Only during emergencies","Overpricing (Lack of transparency)","2","None","No, I only care about the price","Only for major repairs","4","Yes"
"2026/02/20 6:01:31 PM GMT+5:30","Main City/ Commercial Areas","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","Only during emergencies","Overpricing (Lack of transparency)","2","None","No, I only care about the price","No, it should be free","4","Yes"
"2026/02/20 8:42:11 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","Yes, I handle it myself.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security","3","Personal safety, home security, quality of work","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/20 9:30:17 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Only during emergencies","Quality of Work (Skill level);Overpricing (Lack of transparency)","3","","Yes, definitely","Yes, for peace of mind","5","No"
"2026/02/20 9:50:59 PM GMT+5:30","Gated Societies","Independent House","Business Owner/ Entrepreneur","Living Alone","I share the responsibility with family members.","Apps (Justdial/ Urban Company)","Once every 2-3 months","Quality of Work (Skill level)","2","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/02/21 2:00:03 AM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","1","","Yes, definitely","Yes, for peace of mind","1","Yes"
"2026/02/21 1:40:06 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","Yes, I handle it myself.","Ask friends/ Neighbors","Twice a year","Quality of Work (Skill level)","4","Ask Friends / Neighbors","No, I only care about the price","Yes, for peace of mind","4","No"
"2026/02/21 11:09:45 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","4","","Yes, definitely","No, it should be free","","No"
"2026/02/22 8:36:43 AM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","","Yes, definitely","No, it should be free","4","No"
"2026/02/22 8:39:07 AM GMT+5:30","Developing/ Outer Colonies","PG/ Hostel","Student","Living Alone","No, someone else in the house handles it.","Apps (Justdial/ Urban Company)","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","2","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/02/22 8:40:52 AM GMT+5:30","Main City/ Commercial Areas","PG/ Hostel","Student","Living Alone","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality","3","","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/02/22 8:43:37 AM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","I share the responsibility with family members.","Apps (Justdial/ Urban Company)","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Punctuality;Unprofessional behavior or language","1","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/22 8:44:52 AM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Punctuality","3","","Yes, definitely","Only for major repairs","4","No"
"2026/02/28 12:14:21 AM GMT+5:30","University/ Institutional Hubs","Apartment/ Flat","Business Owner/ Entrepreneur","2-4 Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Once every 2-3 months","Quality of Work (Skill level)","2","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/02/28 11:36:50 PM GMT+5:30","University/ Institutional Hubs","Apartment/ Flat","Business Owner/ Entrepreneur","2-4 Members","Yes, I handle it myself.","Local Labor Chowk or nearby shops","Twice a year","Personal Safety/Home Security","2","","Maybe, if the price is same","Only for major repairs","1","Yes"
"2026/03/05 2:52:18 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Working Professional (Full-time/ Part-time)","5+ Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Twice a year","Quality of Work (Skill level)","4","Asking the Neighbours ","Maybe, if the price is same","Only for major repairs","3","Yes"
"2026/03/07 1:19:16 PM GMT+5:30","Gated Societies","Independent House","Business Owner/ Entrepreneur","2-4 Members","Yes, I handle it myself.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","3"," We ask the new worker to show their official ID (like an Aadhaar card or passport) and cross‑check it with the employment reference provided by the agency. We also request a police verification or background‑check report before allowing them into the home.  ","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/03/07 2:54:55 PM GMT+5:30","University/ Institutional Hubs","Independent House","Business Owner/ Entrepreneur","Living Alone","Yes, I handle it myself.","Local Labor Chowk or nearby shops","Twice a year","Overpricing (Lack of transparency)","4","","Maybe, if the price is same","Yes, for peace of mind","5","Yes"
"2026/03/07 2:59:46 PM GMT+5:30","University/ Institutional Hubs","Independent House","Homemaker","2-4 Members","I share the responsibility with family members.","Apps (Justdial/ Urban Company)","Twice a year","Personal Safety/Home Security","1","","Yes, definitely","No, it should be free","","Yes"
"2026/03/09 5:53:19 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","Yes, I handle it myself.","Ask friends/ Neighbors","Only during emergencies","Quality of Work (Skill level)","3","","Maybe, if the price is same","Only for major repairs","4","No"
